,NOV
% Below High,0.0837
% Held by Institutions,0.9579000000000001
52-Wk Range,['11.46 - 24.25']
Annual Dividend $,0.2
Annual Dividend %,0.009000000000000001
Ask,21.77
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.9
Bid,21.61
Bid Size,100.0
Change Since Close,-0.45| |(-2.03%)
Closing Price,22.22
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-23 00:00:00
"EPS (TTM, GAAP)",0.02
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.518
Last (size),2.0
Last (time),5:00p ET 11/25/22
Last Trade,21.77
Market Cap,8.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",919.7
Prev Close,22.22
Shares Outstanding,392.8M
Short Interest,0.0347
Today's Open,
Volume,415.0
Volume 10-day Avg,2468159.0
Volume Past Day,(Light)
