,NOV
Price/Earnings (TTM),919.702
Price/Sales (TTM),1.30641
Price/Book (MRQ),1.79296
Price/Cash Flow (TTM),27.88539
5yr Low,7.7
5yr High,49.08
5yr Avg Return,-0.006766666666666671
EPS Growth 5yr,
Revenue Growth 5yr,-0.052953799999999995
Dividend Growth 5yr,-0.39364350000000004
Short Int Current Month,13535424.0
Short Int Prev Month,14247336.0
Short Int Pct of Float,0.0346841
Days to Cover,4.04758
Float,390.2281
Shares Outstanding,392.805
Institutions Holding Shares,455.0
% Held by Institutions,0.9578789999999999
FCF Growth 5yr,-0.3375327625646205
