,AUPH
% Above Low,0.08689999999999999
% Held by Institutions,0.3908
52-Wk Range,['4.49 - 24.45']
Annual Dividend $,
Annual Dividend %,
Ask,4.95
Ask Size,900.0
B/A Ratio,1.1111111111111112
B/A Size,1000x900
Beta,0.8
Bid,4.81
Bid Size,1000.0
Closing Price,4.88
Day Change $,0.0
Day Change %,0.0
Day High,4.99
Day Low,4.82
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.83
Ex-dividend Date,No dividend
Historical Volatility,0.899
Last (size),10.0
Last (time),1:00p ET 11/25/22
Market Cap,693.5M
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,4.88
Shares Outstanding,142.1M
Short Interest,0.0625
Today's Open,4.92
Volume,871114.0
Volume 10-day Avg,2848562.0
Volume Past Day,(Light)
