,AUPH
Price/Earnings (TTM),
Price/Sales (TTM),5.37599
Price/Book (MRQ),1.63783
Price/Cash Flow (TTM),
5yr Low,3.52
5yr High,33.97
5yr Avg Return,0.31970000000000004
EPS Growth 5yr,
Revenue Growth 5yr,2.049252
Dividend Growth 5yr,
Short Int Current Month,8293506.0
Short Int Prev Month,11455175.0
Short Int Pct of Float,0.0625363
Days to Cover,2.06491
Float,132.8808
Shares Outstanding,142.11
Institutions Holding Shares,240.0
% Held by Institutions,0.39077599999999996
FCF Growth 5yr,0.03209237166520943
