,TNK
Price/Earnings (TTM),
Price/Sales (TTM),1.62979
Price/Book (MRQ),1.31823
Price/Cash Flow (TTM),44.14365
5yr Low,6.96
5yr High,35.44
5yr Avg Return,0.5052166666666666
EPS Growth 5yr,
Revenue Growth 5yr,-0.002988
Dividend Growth 5yr,
Short Int Current Month,1419158.0
Short Int Prev Month,1283636.0
Short Int Pct of Float,0.049154
Days to Cover,2.56779
Float,28.97969
Shares Outstanding,33.908
Institutions Holding Shares,176.0
% Held by Institutions,0.396772
FCF Growth 5yr,-0.42022176090309715
