,TNK
% Below High,0.09210000000000002
% Held by Institutions,0.3968
52-Wk Range,['9.89 - 35.44']
Annual Dividend $,
Annual Dividend %,
Ask,32.75
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,-0.1
Bid,32.0
Bid Size,200.0
Change Since Close,0.00| |(0.00%)
Closing Price,32.17
Day Change $,-1.12
Day Change %,-0.0336
Day High,32.91
Day Low,32.01
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.29
Ex-dividend Date,No dividend
Historical Volatility,0.554
Last (size),1100.0
Last (time),4:10p ET 11/28/22
Last Trade,0.0
Market Cap,1.1B
"P/E Ratio (TTM, GAAP)",
Prev Close,33.29
Shares Outstanding,33.9M
Short Interest,0.0492
Today's Open,32.75
Volume,278102.0
Volume 10-day Avg,397704.0
Volume Past Day,(Light)
