,HLMN
% Above Low,0.1797
% Held by Institutions,0.9540000000000001
52-Wk Range,['6.60 - 12.45']
Annual Dividend $,
Annual Dividend %,
Ask,8.0
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,
Bid,4.25
Bid Size,200.0
Closing Price,7.78
Day Change $,0.17
Day Change %,0.0223
Day High,7.91
Day Low,7.57
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.02
Ex-dividend Date,No dividend
Historical Volatility,0.455
Last (size),64.0
Last (time),1:00p ET 11/25/22
Market Cap,1.5B
"P/E Ratio (TTM, GAAP)",366.64
Prev Close,7.61
Shares Outstanding,194.5M
Short Interest,0.071
Today's Open,7.59
Volume,511269.0
Volume 10-day Avg,1298089.0
Volume Past Day,(Light)
