,HLMN
Price/Earnings (TTM),366.6353
Price/Sales (TTM),1.02221
Price/Book (MRQ),1.29617
Price/Cash Flow (TTM),12.48061
5yr Low,6.6
5yr High,13.46
5yr Avg Return,-0.06703333333333333
Short Int Current Month,10068437.0
Short Int Prev Month,13360059.0
Short Int Pct of Float,0.0710374
Days to Cover,5.60446
Float,192.9135
Shares Outstanding,194.4761
Institutions Holding Shares,200.0
% Held by Institutions,0.953987
FCF Growth 5yr,-1.0624104372219092
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
