,Earnings Result,Actual,Estimate,Growth,Low Estimate,Low Growth Est,High Estimate,High Growth Est,Consensus Estimate,Actual/Estimate,A/E Growth,Consensus Growth Est
Year ending 12/2021,Positive Surprise,0.51,,,,,,,0.04,0.51,,
Year ending 12/2022,Neutral,,0.44,0.0,0.42,,0.46,,0.44,0.44,-0.13725490196078427,
Year ending 12/2023,Neutral,,0.36,0.0,0.07,-0.8333333333333333,0.47,0.021739130434782483,0.36,0.36,-0.18181818181818188,-0.4057971014492754
