,ENTG
% Above Low,0.2274
% Held by Institutions,0.9899
52-Wk Range,['61.75 - 157.49']
Annual Dividend $,0.4
Annual Dividend %,0.0053
Ask,81.66
Ask Size,300.0
B/A Ratio,1.3333333333333333
B/A Size,400x300
Beta,1.2
Bid,71.98
Bid Size,400.0
Closing Price,75.79
Day Change $,0.58
Day Change %,0.0077
Day High,76.4
Day Low,74.35
Dividend Pay Date,2022-11-23 00:00:00
"EPS (TTM, GAAP)",2.02
Ex-dividend,2022-11-01 00:00:00
Ex-dividend Date,11/01/22
Historical Volatility,0.6020000000000001
Last (size),1.0
Last (time),12:59p ET 11/25/22
Market Cap,11.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",37.54
Prev Close,75.21
Shares Outstanding,149.0M
Short Interest,0.049699999999999994
Today's Open,74.58
Volume,800017.0
Volume 10-day Avg,1626802.0
Volume Past Day,(Light)
