,ENTG
Price/Earnings (TTM),37.5408
Price/Sales (TTM),3.80165
Price/Book (MRQ),3.62458
Price/Cash Flow (TTM),23.11146
5yr Low,23.39
5yr High,158.0
5yr Avg Return,0.25608333333333333
EPS Growth 5yr,0.34369489999999997
Revenue Growth 5yr,0.1436055
Dividend Growth 5yr,
Short Int Current Month,7352743.0
Short Int Prev Month,5323075.0
Short Int Pct of Float,0.0497314
Days to Cover,2.49443
Float,147.8953
Shares Outstanding,149.0346
Institutions Holding Shares,655.0
% Held by Institutions,0.989857
FCF Growth 5yr,-0.7715478784106237
