,KRUS
% Below High,0.3225
% Held by Institutions,0.5459
52-Wk Range,['30.95 - 96.60']
Annual Dividend $,
Annual Dividend %,
Ask,81.3
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,57.5
Bid Size,100.0
Closing Price,65.45
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.08
Ex-dividend Date,No dividend
Historical Volatility,0.782
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,640.7M
"P/E Ratio (TTM, GAAP)",
Prev Close,65.45
Shares Outstanding,9.8M
Short Interest,0.2425
Today's Open,
Volume,25559.0
Volume 10-day Avg,117838.0
Volume Past Day,(Light)
