,KRUS
Price/Earnings (TTM),
Price/Sales (TTM),4.541
Price/Book (MRQ),6.86673
Price/Cash Flow (TTM),121.273
5yr Low,5.07
5yr High,96.6
5yr Avg Return,0.856125
EPS Growth 5yr,
Revenue Growth 5yr,0.3051819
Dividend Growth 5yr,
Short Int Current Month,1008035.0
Short Int Prev Month,1041503.0
Short Int Pct of Float,0.2425442
Days to Cover,7.63449
Float,4.15609
Shares Outstanding,9.78893
Institutions Holding Shares,134.0
% Held by Institutions,0.545945
FCF Growth 5yr,-0.4825620750403819
