,KRUS
Next Earnings Announcement,2023-01-05 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-1.0217391304347827
Growth 2yr High Est,3.625
Growth 2yr Consensus Est,1.3016304347826086
Growth 5yr Low Est,-1.0217391304347827
Growth 5yr High Est,3.625
Growth 5yr Consensus Est,1.3016304347826086
Growth 5yr Actual/Est,-2.31720504873914
Growth 3yr Historic,-0.338038382072473
