,FBHS
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,0.10124333925399642
Growth 1yr High Est,0.09201388888888884
Growth 1yr Consensus Est,0.09662861407144263
Growth 2yr Low Est,-0.03405574972784048
Growth 2yr High Est,0.05077641980215508
Growth 2yr Consensus Est,0.008360335037157302
Growth 5yr Low Est,0.11651993848615297
Growth 5yr High Est,0.15855985070575118
Growth 5yr Consensus Est,0.13753989459595206
Growth 5yr Actual/Est,0.13474527282471221
Growth 3yr Historic,0.13285766374966856
