,FBHS
% Above Low,0.26420000000000005
% Held by Institutions,0.8776999999999999
52-Wk Range,['52.95 - 108.41']
Annual Dividend $,1.12
Annual Dividend %,0.0167
Ask,71.39
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.6
Bid,55.0
Bid Size,100.0
Closing Price,66.94
Day Change $,0.73
Day Change %,0.011000000000000001
Day High,67.18
Day Low,65.95
Dividend Pay Date,2022-12-14 00:00:00
"EPS (TTM, GAAP)",5.65
Ex-dividend,2022-11-23 00:00:00
Ex-dividend Date,11/23/22
Historical Volatility,0.409
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,8.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",11.84
Prev Close,66.21
Shares Outstanding,128.2M
Short Interest,0.0158
Today's Open,66.1
Volume,549302.0
Volume 10-day Avg,1175329.0
Volume Past Day,(Light)
