,FBHS
Price/Earnings (TTM),11.84404
Price/Sales (TTM),1.06711
Price/Book (MRQ),2.83309
Price/Cash Flow (TTM),9.10828
5yr Low,33.9
5yr High,114.01
5yr Avg Return,0.08861666666666666
EPS Growth 5yr,0.16201429999999997
Revenue Growth 5yr,0.08960789999999999
Dividend Growth 5yr,0.10197229999999999
Short Int Current Month,2019930.0
Short Int Prev Month,2122945.0
Short Int Pct of Float,0.0158275
Days to Cover,1.44907
Float,127.7233
Shares Outstanding,128.2425
Institutions Holding Shares,871.0
% Held by Institutions,0.8776940000000001
FCF Growth 5yr,-1.5836486875140885
