,SNA
Price/Earnings (TTM),14.71101
Price/Sales (TTM),2.69216
Price/Book (MRQ),2.98917
Price/Cash Flow (TTM),12.60612
5yr Low,90.72
5yr High,259.99
5yr Avg Return,0.07358333333333335
EPS Growth 5yr,0.1015351
Revenue Growth 5yr,0.043918900000000004
Dividend Growth 5yr,0.15005190000000002
Short Int Current Month,2698723.0
Short Int Prev Month,2693730.0
Short Int Pct of Float,0.0516885
Days to Cover,10.35656
Float,52.24532
Shares Outstanding,53.15464
Institutions Holding Shares,973.0
% Held by Institutions,0.866669
FCF Growth 5yr,0.08443820008259632
