,SNA
% Below High,0.0168
% Held by Institutions,0.8667
52-Wk Range,['190.08 - 243.92']
Annual Dividend $,6.48
Annual Dividend %,0.026699999999999998
Ask,239.89
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.1
Bid,239.67
Bid Size,100.0
Day Change $,-2.95
Day Change %,-0.012199999999999999
Day High,242.06
Day Low,239.66
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",16.5
Ex-dividend,2022-11-18 00:00:00
Ex-dividend Date,11/18/22
Historical Volatility,0.27
Last (size),1.0
Last (time),2:44p ET 11/28/22
Market Cap,12.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",14.71
Prev Close,242.78
Price,239.83
Shares Outstanding,53.2M
Short Interest,0.051699999999999996
Today's Open,241.27
Volume Past Day,(Below Average)
