,HLNE
Price/Earnings (TTM),20.26755
Price/Sales (TTM),8.31763
Price/Book (MRQ),10.24957
Price/Cash Flow (TTM),16.8105
5yr Low,30.52
5yr High,116.0
5yr Avg Return,0.17426666666666665
EPS Growth 5yr,1.6247989999999999
Revenue Growth 5yr,0.153939
Dividend Growth 5yr,
Short Int Current Month,1132617.0
Short Int Prev Month,994072.0
Short Int Pct of Float,0.0338524
Days to Cover,3.72121
Float,33.4575
Shares Outstanding,53.81483
Institutions Holding Shares,286.0
% Held by Institutions,0.941019
FCF Growth 5yr,0.3563567426595237
