,HLNE
% Above Low,0.3335
% Held by Institutions,0.941
52-Wk Range,['55.81 - 111.27']
Annual Dividend $,1.6
Annual Dividend %,0.0215
Ask,74.82
Ask Size,200.0
B/A Ratio,3.5
B/A Size,700x200
Beta,1.0
Bid,74.02
Bid Size,700.0
Closing Price,74.42
Day Change $,0.11
Day Change %,0.0015
Day High,75.36
Day Low,73.86
Dividend Pay Date,2023-01-06 00:00:00
"EPS (TTM, GAAP)",3.67
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.40399999999999997
Last (size),246.0
Last (time),1:00p ET 11/25/22
Market Cap,2.8B
"P/E Ratio (TTM, GAAP)",20.27
Prev Close,74.31
Shares Outstanding,37.9M
Short Interest,0.0339
Today's Open,73.86
Volume,99810.0
Volume 10-day Avg,195079.0
Volume Past Day,(Light)
