,HLNE
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.21957040572792375
Growth 1yr High Est,-0.07356321839080449
Growth 1yr Consensus Est,-0.14656681205936412
Growth 2yr Low Est,-0.12966287870494048
Growth 2yr High Est,0.032697298993183355
Growth 2yr Consensus Est,-0.04848278985587856
Growth 5yr Low Est,-0.12966287870494048
Growth 5yr High Est,0.032697298993183355
Growth 5yr Consensus Est,-0.04848278985587856
Growth 5yr Actual/Est,0.20011059225913438
Growth 3yr Historic,0.24156689082062216
