,AQUA
Price/Earnings (TTM),75.84454
Price/Sales (TTM),3.07637
Price/Book (MRQ),7.52161
Price/Cash Flow (TTM),26.72789
5yr Low,7.09
5yr High,49.38
5yr Avg Return,0.26536666666666664
EPS Growth 5yr,0.9598717000000001
Revenue Growth 5yr,0.0684666
Dividend Growth 5yr,
Short Int Current Month,2594046.0
Short Int Prev Month,2411696.0
Short Int Pct of Float,0.0215563
Days to Cover,3.62805
Float,120.441
Shares Outstanding,121.812
Institutions Holding Shares,413.0
% Held by Institutions,1.018346
FCF Growth 5yr,-0.8920252872084071
