,AQUA
% Below High,0.0953
% Held by Institutions,1.0183
52-Wk Range,['30.44 - 48.49']
Annual Dividend $,
Annual Dividend %,
Ask,46.57
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.7
Bid,35.0
Bid Size,100.0
Closing Price,43.87
Day Change $,-0.27
Day Change %,-0.0060999999999999995
Day High,44.33
Day Low,43.64
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.58
Ex-dividend Date,No dividend
Historical Volatility,0.434
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,5.3B
"P/E Ratio (TTM, GAAP)",75.84
Prev Close,44.14
Shares Outstanding,121.8M
Short Interest,0.0216
Today's Open,44.0
Volume,378841.0
Volume 10-day Avg,817134.0
Volume Past Day,(Light)
