,DCT
Next Earnings Announcement,2023-01-05 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.8333333333333335
Growth 1yr High Est,0.625
Growth 1yr Consensus Est,0.7291666666666667
Growth 2yr Low Est,0.643939393939394
Growth 2yr High Est,0.5817307692307693
Growth 2yr Consensus Est,0.6128350815850816
Growth 5yr Low Est,0.42929292929292934
Growth 5yr High Est,0.38782051282051283
Growth 5yr Consensus Est,0.4085567210567211
Growth 5yr Actual/Est,0.3248106060606061
Growth 3yr Historic,0.17708333333333337
