,DCT
% Above Low,0.1045
% Held by Institutions,0.7363
52-Wk Range,['10.04 - 32.49']
Annual Dividend $,
Annual Dividend %,
Ask,13.0
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,
Bid,9.99
Bid Size,100.0
Closing Price,11.09
Day Change $,-0.01
Day Change %,-0.0009
Day High,11.12
Day Low,10.89
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.06
Ex-dividend Date,No dividend
Historical Volatility,0.5660000000000001
Last (size),37.0
Last (time),1:00p ET 11/25/22
Market Cap,1.5B
"P/E Ratio (TTM, GAAP)",
Prev Close,11.1
Shares Outstanding,132.7M
Short Interest,0.021099999999999997
Today's Open,11.03
Volume,177167.0
Volume 10-day Avg,569247.0
Volume Past Day,(Light)
