,DCT
Price/Earnings (TTM),
Price/Sales (TTM),4.8597
Price/Book (MRQ),2.00913
Price/Cash Flow (TTM),111.5217
5yr Low,10.04
5yr High,59.4
5yr Avg Return,-0.30373333333333336
EPS Growth 5yr,
Revenue Growth 5yr,0.1408782
Dividend Growth 5yr,
Short Int Current Month,2016866.0
Short Int Prev Month,2250967.0
Short Int Pct of Float,0.0211487
Days to Cover,3.30658
Float,95.38047
Shares Outstanding,132.74
Institutions Holding Shares,225.0
% Held by Institutions,0.736297
FCF Growth 5yr,-0.9035499693776124
