,OUST
Price/Earnings (TTM),
Price/Sales (TTM),5.41147
Price/Book (MRQ),1.10357
Price/Cash Flow (TTM),
5yr Low,0.76
5yr High,17.73
5yr Avg Return,-0.33303333333333335
Short Int Current Month,8852462.0
Short Int Prev Month,8602700.0
Short Int Pct of Float,0.071743
Days to Cover,5.92566
Float,123.6979
Shares Outstanding,184.5312
Institutions Holding Shares,148.0
% Held by Institutions,0.283729
FCF Growth 5yr,0.45141508644885403
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
