,OUST
% Above Low,0.6118
% Held by Institutions,0.2837
52-Wk Range,['0.76 - 7.16']
Annual Dividend $,
Annual Dividend %,
Ask,1.23
Ask Size,500.0
B/A Ratio,2.2
B/A Size,1100x500
Beta,
Bid,1.22
Bid Size,1100.0
Day Change $,-0.005
Day Change %,-0.0040999999999999995
Day High,1.25
Day Low,1.22
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.72
Ex-dividend Date,No dividend
Historical Volatility,0.875
Last (size),100.0
Last (time),9:48a ET 11/28/22
Market Cap,226.1M
"P/E Ratio (TTM, GAAP)",
Prev Close,1.23
Price,1.23
Shares Outstanding,184.5M
Short Interest,0.0717
Today's Open,1.25
Volume Past Day,(Light)
