,NMIH
% Above Low,0.3744
% Held by Institutions,0.9992
52-Wk Range,['15.33 - 27.25']
Annual Dividend $,
Annual Dividend %,
Ask,23.25
Ask Size,700.0
B/A Ratio,0.2857142857142857
B/A Size,200x700
Beta,1.3
Bid,19.51
Bid Size,200.0
Closing Price,21.07
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.24
Ex-dividend Date,No dividend
Historical Volatility,0.38
Last (size),39.0
Last (time),1:00p ET 11/25/22
Market Cap,1.8B
"P/E Ratio (TTM, GAAP)",6.5
Prev Close,21.07
Shares Outstanding,83.6M
Short Interest,0.012
Today's Open,
Volume,97728.0
Volume 10-day Avg,307619.0
Volume Past Day,(Light)
