,NMIH
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,0.2585551330798479
Growth 1yr High Est,0.23636363636363633
Growth 1yr Consensus Est,0.24745938472174211
Growth 2yr Low Est,0.15042560279370043
Growth 2yr High Est,0.2005347593582888
Growth 2yr Consensus Est,0.1754801810759946
Growth 5yr Low Est,0.10081319509763759
Growth 5yr High Est,0.12558428170837518
Growth 5yr Consensus Est,0.11319873840300639
Growth 5yr Actual/Est,0.10296023227691276
Growth 3yr Historic,0.020613301265293316
