,NMIH
Price/Earnings (TTM),6.50339
Price/Sales (TTM),3.41746
Price/Book (MRQ),1.15711
Price/Cash Flow (TTM),6.02184
5yr Low,8.06
5yr High,35.79
5yr Avg Return,0.09040000000000002
EPS Growth 5yr,0.20383420000000002
Revenue Growth 5yr,0.31403400000000004
Dividend Growth 5yr,
Short Int Current Month,990779.0
Short Int Prev Month,1382524.0
Short Int Pct of Float,0.011999
Days to Cover,2.33966
Float,82.59529
Shares Outstanding,83.58103
Institutions Holding Shares,314.0
% Held by Institutions,0.999157
FCF Growth 5yr,0.3420496125618495
