,NATI
% Below High,0.0767
% Held by Institutions,0.9308
52-Wk Range,['29.81 - 44.44']
Annual Dividend $,1.12
Annual Dividend %,0.0273
Ask,42.0
Ask Size,500.0
Ask close,43.87
B/A Ratio,0.2
B/A Size,100x500
Beta,1.1
Bid,37.51
Bid Size,100.0
Bid close,38.87
Change Since Close,-0.08| |(-0.19%)
Closing Price,41.03
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-28 00:00:00
"EPS (TTM, GAAP)",1.05
Ex-dividend,2022-11-04 00:00:00
Ex-dividend Date,11/04/22
Historical Volatility,0.35100000000000003
Last (size),40.0
Last (time),1:00p ET 11/25/22
Last Trade,40.95
Market Cap,5.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",38.93
Prev Close,41.03
Shares Outstanding,130.6M
Short Interest,0.0256
Today's Open,
Volume,43.0
Volume 10-day Avg,561148.0
Volume Past Day,(Light)
