,NATI
Price/Earnings (TTM),38.92974
Price/Sales (TTM),3.28797
Price/Book (MRQ),4.7684
Price/Cash Flow (TTM),22.82342
5yr Low,20.42
5yr High,53.57
5yr Avg Return,-0.010549999999999999
EPS Growth 5yr,0.0084056
Revenue Growth 5yr,0.0365548
Dividend Growth 5yr,0.0618588
Short Int Current Month,3321156.0
Short Int Prev Month,3208273.0
Short Int Pct of Float,0.0256059
Days to Cover,5.63657
Float,129.6929
Shares Outstanding,130.5685
Institutions Holding Shares,410.0
% Held by Institutions,0.9307890000000001
FCF Growth 5yr,0.737386188076354
