,COWN
% Below High,0.0039000000000000003
% Held by Institutions,0.9592
52-Wk Range,['21.36 - 38.88']
Annual Dividend $,0.48
Annual Dividend %,0.0124
Ask,40.0
Ask Size,34000.0
B/A Ratio,0.0029411764705882353
B/A Size,100x34000
Beta,1.4
Bid,31.38
Bid Size,100.0
Closing Price,38.73
Day Change $,0.03
Day Change %,0.0008
Day High,38.73
Day Low,38.63
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",3.91
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.47200000000000003
Last (size),416.0
Last (time),12:59p ET 11/25/22
Market Cap,1.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",9.9
Prev Close,38.7
Shares Outstanding,28.0M
Short Interest,0.26289999999999997
Today's Open,38.68
Volume,299526.0
Volume 10-day Avg,431232.0
Volume Past Day,(Light)
