,COWN
Price/Earnings (TTM),9.89588
Price/Sales (TTM),0.67055
Price/Book (MRQ),1.0301
Price/Cash Flow (TTM),8.59136
5yr Low,5.75
5yr High,44.07
5yr Avg Return,0.20145
EPS Growth 5yr,
Revenue Growth 5yr,0.34978099999999995
Dividend Growth 5yr,
Short Int Current Month,6876476.0
Short Int Prev Month,6059941.0
Short Int Pct of Float,0.26290379999999997
Days to Cover,9.84418
Float,26.15587
Shares Outstanding,28.0143
Institutions Holding Shares,230.0
% Held by Institutions,0.959152
FCF Growth 5yr,-1.9145009456216373
