,LPX
Price/Earnings (TTM),4.71547
Price/Sales (TTM),1.08764
Price/Book (MRQ),3.30902
Price/Cash Flow (TTM),3.70997
5yr Low,12.97
5yr High,79.77
5yr Avg Return,0.2147
EPS Growth 5yr,0.6850121
Revenue Growth 5yr,0.15309799999999998
Dividend Growth 5yr,
Short Int Current Month,5340737.0
Short Int Prev Month,4993088.0
Short Int Pct of Float,0.0758832
Days to Cover,4.50152
Float,70.38232
Shares Outstanding,71.69545
Institutions Holding Shares,510.0
% Held by Institutions,1.009661
FCF Growth 5yr,0.18771476640068005
