,LPX
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.1518518518518519
Growth 1yr High Est,-0.053314121037464024
Growth 1yr Consensus Est,-0.10258298644465796
Growth 2yr Low Est,-0.4278909914281094
Growth 2yr High Est,-0.2736129204882906
Growth 2yr Consensus Est,-0.35075195595819997
Growth 5yr Low Est,-0.4278909914281094
Growth 5yr High Est,-0.2736129204882906
Growth 5yr Consensus Est,-0.35075195595819997
Growth 5yr Actual/Est,3.0382745388521304
Growth 3yr Historic,3.222486988148241
