,LPX
% Above Low,0.3033
% Held by Institutions,1.0097
52-Wk Range,['48.20 - 79.77']
Annual Dividend $,0.88
Annual Dividend %,0.013999999999999999
Ask,69.28
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.6
Bid,61.06
Bid Size,100.0
Change Since Close,-0.27| |(-0.43%)
Closing Price,62.82
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",13.32
Ex-dividend,2022-11-08 00:00:00
Ex-dividend Date,11/08/22
Historical Volatility,0.49
Last (size),1.0
Last (time),5:00p ET 11/25/22
Last Trade,62.55
Market Cap,4.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",4.72
Prev Close,62.82
Shares Outstanding,71.7M
Short Interest,0.0759
Today's Open,
Volume,1.0
Volume 10-day Avg,988766.0
Volume Past Day,(Light)
