,FMC
% Below High,0.08380000000000001
% Held by Institutions,0.9101
52-Wk Range,['98.24 - 140.99']
Annual Dividend $,2.12
Annual Dividend %,0.016399999999999998
Ask,140.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.8
Bid,129.21
Bid Size,100.0
Closing Price,129.18
Day Change $,0.93
Day Change %,0.0073
Day High,129.56
Day Low,128.01
Dividend Pay Date,2022-10-20 00:00:00
"EPS (TTM, GAAP)",5.76
Ex-dividend,2022-09-29 00:00:00
Ex-dividend Date,09/29/22
Historical Volatility,0.29
Last (size),13.0
Last (time),5:00p ET 11/25/22
Market Cap,16.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",22.42
Prev Close,128.25
Shares Outstanding,126.0M
Short Interest,0.0109
Today's Open,128.16
Volume,172153.0
Volume 10-day Avg,636013.0
Volume Past Day,(Light)
