,DLX
% Above Low,0.2309
% Held by Institutions,0.8765000000000001
52-Wk Range,['15.30 - 36.20']
Annual Dividend $,1.2
Annual Dividend %,0.0637
Ask,20.86
Ask Size,100.0
B/A Ratio,10.0
B/A Size,1000x100
Beta,1.5
Bid,16.8
Bid Size,1000.0
Closing Price,18.83
Day Change $,0.03
Day Change %,0.0016
Day High,19.1
Day Low,18.79
Dividend Pay Date,2022-12-05 00:00:00
"EPS (TTM, GAAP)",1.39
Ex-dividend,2022-11-18 00:00:00
Ex-dividend Date,11/18/22
Historical Volatility,0.397
Last (size),21.0
Last (time),5:00p ET 11/25/22
Market Cap,813.5M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",13.53
Prev Close,18.8
Shares Outstanding,43.1M
Short Interest,0.0359
Today's Open,18.79
Volume,84339.0
Volume 10-day Avg,185384.0
Volume Past Day,(Light)
