,DLX
Price/Earnings (TTM),13.5344
Price/Sales (TTM),0.36187
Price/Book (MRQ),1.34996
Price/Cash Flow (TTM),3.45434
5yr Low,15.3
5yr High,78.87
5yr Avg Return,-0.13463333333333333
EPS Growth 5yr,-0.20649930000000002
Revenue Growth 5yr,0.0180624
Dividend Growth 5yr,
Short Int Current Month,1532127.0
Short Int Prev Month,1726059.0
Short Int Pct of Float,0.0359105
Days to Cover,6.60175
Float,42.73278
Shares Outstanding,43.13611
Institutions Holding Shares,247.0
% Held by Institutions,0.876501
FCF Growth 5yr,0.35336268669602006
