,DLX
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-0.1340425531914894
Growth 1yr High Est,-0.17107942973523416
Growth 1yr Consensus Est,-0.15256099146336177
Growth 2yr Low Est,-0.11861832819279633
Growth 2yr High Est,-0.05728418661208884
Growth 2yr Consensus Est,-0.08795125740244258
Growth 5yr Low Est,-0.1356533892263851
Growth 5yr High Est,-0.09529606832888937
Growth 5yr Consensus Est,-0.11547472877763723
Growth 5yr Actual/Est,-0.12064966805498523
Growth 3yr Historic,-0.07362551088738542
