,AFRM
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,0.3289036544850499
Growth 1yr High Est,19.181818181818183
Growth 1yr Consensus Est,9.755360918151617
Growth 2yr Low Est,0.10195182724252494
Growth 2yr High Est,9.257575757575758
Growth 2yr Consensus Est,4.679763792409141
Growth 5yr Low Est,0.10195182724252494
Growth 5yr High Est,9.257575757575758
Growth 5yr Consensus Est,4.679763792409141
Growth 5yr Actual/Est,0.027412268887039144
Growth 3yr Historic,-0.025735294117647117
