,AFRM
% Above Low,0.0959
% Held by Institutions,0.8095
52-Wk Range,['11.94 - 140.49']
Annual Dividend $,
Annual Dividend %,
Ask,13.08
Ask Size,4600.0
B/A Ratio,1.9130434782608696
B/A Size,8800x4600
Beta,
Bid,13.03
Bid Size,8800.0
Closing Price,13.08
Day Change $,-0.23
Day Change %,-0.0173
Day High,13.22
Day Low,12.86
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.27
Ex-dividend Date,No dividend
Historical Volatility,1.2670000000000001
Last (size),100.0
Last (time),1:00p ET 11/25/22
Market Cap,3.8B
"P/E Ratio (TTM, GAAP)",
Prev Close,13.31
Shares Outstanding,290.2M
Short Interest,0.1938
Today's Open,13.15
Volume,5798060.0
Volume 10-day Avg,16717767.0
Volume Past Day,(Light)
