,AFRM
Price/Earnings (TTM),
Price/Sales (TTM),3.13008
Price/Book (MRQ),1.47714
Price/Cash Flow (TTM),
5yr Low,11.94
5yr High,176.65
5yr Avg Return,-0.38275000000000003
Short Int Current Month,42169219.0
Short Int Prev Month,40900883.0
Short Int Pct of Float,0.19381810000000002
Days to Cover,2.1252
Float,217.5869
Shares Outstanding,290.1501
Institutions Holding Shares,479.0
% Held by Institutions,0.809468
FCF Growth 5yr,0.01733121418183396
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
