,MKL
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,0.8099547511312217
Growth 1yr High Est,0.8987370838117108
Growth 1yr Consensus Est,0.8543459174714663
Growth 2yr Low Est,0.49664404223227754
Growth 2yr High Est,0.4691411867238503
Growth 2yr Consensus Est,0.4828926144780639
Growth 5yr Low Est,0.24832202111613877
Growth 5yr High Est,0.23457059336192515
Growth 5yr Consensus Est,0.24144630723903196
Growth 5yr Actual/Est,0.48212614097356127
Growth 3yr Historic,0.41713831462690143
