,MKL
% Below High,0.1411
% Held by Institutions,0.7684000000000001
52-Wk Range,"['1,064.09 - 1,519.25']"
Annual Dividend $,
Annual Dividend %,
Ask,1330.0
Ask Size,20.0
B/A Ratio,0.5
B/A Size,10x20
Beta,0.8
Bid,1125.0
Bid Size,10.0
Change Since Close,-39.15| |(-3.00%)
Closing Price,1304.92
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-9.88
Ex-dividend Date,No dividend
Historical Volatility,0.249
Last (size),1.0
Last (time),5:00p ET 11/25/22
Last Trade,1265.77
Market Cap,17.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,1304.92
Shares Outstanding,13.5M
Short Interest,0.008199999999999999
Today's Open,
Volume,1.0
Volume 10-day Avg,32063.0
Volume Past Day,(Light)
