,FBC
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,-0.4140350877192983
Growth 1yr High Est,-0.45775401069518706
Growth 1yr Consensus Est,-0.4358945492072427
Growth 2yr Low Est,-0.2329656476520643
Growth 2yr High Est,-0.2239460388781655
Growth 2yr Consensus Est,-0.2284558432651149
Growth 5yr Low Est,-0.15531043176804285
Growth 5yr High Est,-0.14929735925211032
Growth 5yr Consensus Est,-0.1523038955100766
Growth 5yr Actual/Est,0.2695768045715472
Growth 3yr Historic,0.4046771340114993
