,FBC
% Above Low,0.23170000000000002
% Held by Institutions,0.8835
52-Wk Range,['30.82 - 53.30']
Annual Dividend $,0.24
Annual Dividend %,0.0063
Ask,38.34
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.5
Bid,
Bid Size,
Closing Price,37.96
Day Change $,-0.03
Day Change %,-0.0008
Day High,38.24
Day Low,37.85
Dividend Pay Date,2022-11-17 00:00:00
"EPS (TTM, GAAP)",5.06
Ex-dividend,2022-11-04 00:00:00
Ex-dividend Date,11/04/22
Historical Volatility,0.358
Last (size),25.0
Last (time),5:00p ET 11/25/22
Market Cap,2.0B
"P/E Ratio (TTM, GAAP)",7.5
Prev Close,37.99
Shares Outstanding,53.3M
Short Interest,0.0487
Today's Open,38.24
Volume,127971.0
Volume 10-day Avg,632962.0
Volume Past Day,(Light)
