,NVST
Price/Earnings (TTM),31.97056
Price/Sales (TTM),2.36215
Price/Book (MRQ),1.52749
Price/Cash Flow (TTM),17.45768
5yr Low,10.08
5yr High,52.03
5yr Avg Return,0.10655
EPS Growth 5yr,-0.033469
Revenue Growth 5yr,-0.0206923
Dividend Growth 5yr,
Short Int Current Month,11668473.0
Short Int Prev Month,10974986.0
Short Int Pct of Float,0.0717209
Days to Cover,5.92365
Float,162.7043
Shares Outstanding,163.045
Institutions Holding Shares,443.0
% Held by Institutions,1.142676
FCF Growth 5yr,-1.6145946435034382
