,NVST
% Above Low,0.1711
% Held by Institutions,1.1427
52-Wk Range,['31.67 - 52.03']
Annual Dividend $,
Annual Dividend %,
Ask,40.54
Ask Size,
B/A Ratio,
B/A Size,--
Beta,
Bid,
Bid Size,
Closing Price,37.09
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.16
Ex-dividend Date,No dividend
Historical Volatility,0.344
Last (size),100.0
Last (time),5:00p ET 11/25/22
Market Cap,6.0B
"P/E Ratio (TTM, GAAP)",31.97
Prev Close,37.09
Shares Outstanding,163.0M
Short Interest,0.0717
Today's Open,
Volume,207827.0
Volume 10-day Avg,1064881.0
Volume Past Day,(Light)
