,HOOD
% Above Low,0.3789
% Held by Institutions,0.6620999999999999
52-Wk Range,['6.81 - 29.22']
Annual Dividend $,
Annual Dividend %,
Ask,9.39
Ask Size,3800.0
B/A Ratio,0.02631578947368421
B/A Size,100x3800
Beta,
Bid,9.35
Bid Size,100.0
Closing Price,9.39
Day Change $,-0.07
Day Change %,-0.0074
Day High,9.43
Day Low,9.24
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.49
Ex-dividend Date,No dividend
Historical Volatility,0.843
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,8.3B
"P/E Ratio (TTM, GAAP)",
Prev Close,9.46
Shares Outstanding,886.8M
Short Interest,0.060700000000000004
Today's Open,9.33
Volume,1823816.0
Volume 10-day Avg,13920052.0
Volume Past Day,(Light)
