,HOOD
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.891566265060241
Growth 1yr High Est,-0.733160621761658
Growth 1yr Consensus Est,-0.8123634434109495
Growth 2yr Low Est,-0.5697147564617444
Growth 2yr High Est,-0.9102696312691785
Growth 2yr Consensus Est,-0.7399921938654614
Growth 5yr Low Est,-0.5697147564617444
Growth 5yr High Est,-0.9102696312691785
Growth 5yr Consensus Est,-0.7399921938654614
Growth 5yr Actual/Est,-0.724340787716956
Growth 3yr Historic,0.0
