,HOOD
Price/Earnings (TTM),
Price/Sales (TTM),6.21064
Price/Book (MRQ),1.19448
Price/Cash Flow (TTM),
5yr Low,6.81
5yr High,85.0
5yr Avg Return,-0.5062
Short Int Current Month,41726762.0
Short Int Prev Month,34616391.0
Short Int Pct of Float,0.060743799999999994
Days to Cover,1.90215
Float,699.6133
Shares Outstanding,886.7605
Institutions Holding Shares,359.0
% Held by Institutions,0.662103
FCF Growth 5yr,-1.4123121698244825
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
