,PHAT
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.2458233890214796
Growth 1yr High Est,0.27105263157894743
Growth 1yr Consensus Est,0.2584380103002135
Growth 2yr Low Est,0.27329483627319195
Growth 2yr High Est,0.0961888416693909
Growth 2yr Consensus Est,0.18474183897129143
Growth 5yr Low Est,0.27329483627319195
Growth 5yr High Est,0.0961888416693909
Growth 5yr Consensus Est,0.18474183897129143
Growth 5yr Actual/Est,-0.10803286703110843
Growth 3yr Historic,-0.20614854315431774
