,PHAT
% Above Low,0.5685
% Held by Institutions,0.7570999999999999
52-Wk Range,['6.10 - 20.30']
Annual Dividend $,
Annual Dividend %,
Ask,9.62
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,
Bid,9.5
Bid Size,200.0
Day Change $,0.03
Day Change %,0.0031
Day High,9.51
Day Low,9.45
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-4.84
Ex-dividend Date,No dividend
Historical Volatility,0.927
Last (size),18.0
Last (time),10:43a ET 11/28/22
Market Cap,397.9M
"P/E Ratio (TTM, GAAP)",
Prev Close,9.53
Price,9.56
Shares Outstanding,41.6M
Short Interest,0.0535
Today's Open,9.51
Volume Past Day,(Light)
