,PHAT
5yr Low,6.1
5yr High,64.54
5yr Avg Return,-0.11985
Short Int Current Month,1688980.0
Short Int Prev Month,1836205.0
Short Int Pct of Float,0.053452400000000004
Days to Cover,11.91949
Float,32.01625
Shares Outstanding,41.62085
Institutions Holding Shares,144.0
% Held by Institutions,0.757145
FCF Growth 5yr,
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
