,GEN
Price/Earnings (TTM),23.29778
Price/Sales (TTM),5.35375
Price/Book (MRQ),8.9963
Price/Cash Flow (TTM),20.8419
5yr Low,15.12
5yr High,30.92
5yr Avg Return,-0.0053333333333333375
EPS Growth 5yr,
Revenue Growth 5yr,-0.06999810000000001
Dividend Growth 5yr,0.10756629999999999
Short Int Current Month,13783815.0
Short Int Prev Month,16337202.0
Short Int Pct of Float,0.0226011
Days to Cover,2.02859
Float,614.7246
Shares Outstanding,665.57
Institutions Holding Shares,893.0
% Held by Institutions,0.836027
FCF Growth 5yr,-0.23312943296381475
