,GEN
% Above Low,0.1486
% Held by Institutions,0.836
52-Wk Range,['20.12 - 30.92']
Annual Dividend $,0.5
Annual Dividend %,0.0216
Ask,23.69
Ask Size,200.0
B/A Ratio,16.0
B/A Size,3200x200
Beta,0.7
Bid,22.62
Bid Size,3200.0
Closing Price,23.11
Day Change $,0.08
Day Change %,0.0034999999999999996
Day High,23.22
Day Low,22.95
Dividend Pay Date,2022-12-14 00:00:00
"EPS (TTM, GAAP)",0.99
Ex-dividend,2022-11-18 00:00:00
Ex-dividend Date,11/18/22
Historical Volatility,0.34700000000000003
Last (size),5.0
Last (time),1:00p ET 11/25/22
Market Cap,15.1B
"P/E Ratio (TTM, GAAP)",23.3
Prev Close,23.03
Shares Outstanding,651.4M
Short Interest,0.0226
Today's Open,23.04
Volume,2808669.0
Volume 10-day Avg,5593320.0
Volume Past Day,(Light)
