,NABL
% Below High,0.1075
% Held by Institutions,0.9993000000000001
52-Wk Range,['8.12 - 12.75']
Annual Dividend $,
Annual Dividend %,
Ask,12.5
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,
Bid,9.41
Bid Size,200.0
Change Since Close,0.01| |(0.09%)
Closing Price,11.38
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.07
Ex-dividend Date,No dividend
Historical Volatility,0.523
Last (size),3.0
Last (time),5:00p ET 11/25/22
Last Trade,11.39
Market Cap,2.1B
"P/E Ratio (TTM, GAAP)",174.86
Prev Close,11.38
Shares Outstanding,180.7M
Short Interest,0.032400000000000005
Today's Open,
Volume,3.0
Volume 10-day Avg,351608.0
Volume Past Day,(Light)
