,NABL
Price/Earnings (TTM),174.8617
Price/Sales (TTM),5.62543
Price/Book (MRQ),3.45653
Price/Cash Flow (TTM),53.04794
5yr Low,8.12
5yr High,16.0
5yr Avg Return,-0.06414999999999998
Short Int Current Month,1948754.0
Short Int Prev Month,2153716.0
Short Int Pct of Float,0.0324255
Days to Cover,5.68183
Float,179.5795
Shares Outstanding,180.6846
Institutions Holding Shares,159.0
% Held by Institutions,0.9992610000000001
FCF Growth 5yr,0.6844262971776699
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
