,OI
% Below High,0.0713
% Held by Institutions,0.9504
52-Wk Range,['10.64 - 17.94']
Annual Dividend $,
Annual Dividend %,
Ask,16.69
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,12.5
Bid Size,100.0
Change Since Close,0.04| |(0.24%)
Closing Price,16.66
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.91
Ex-dividend Date,No dividend
Historical Volatility,0.479
Last (size),1.0
Last (time),5:00p ET 11/25/22
Last Trade,16.7
Market Cap,2.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",5.73
Prev Close,16.66
Shares Outstanding,155.1M
Short Interest,0.0282
Today's Open,
Volume,1.0
Volume 10-day Avg,1371503.0
Volume Past Day,(Light)
