,OI
Price/Earnings (TTM),5.73484
Price/Sales (TTM),0.38773
Price/Book (MRQ),2.26967
Price/Cash Flow (TTM),2.69228
5yr Low,4.31
5yr High,24.66
5yr Avg Return,-0.028783333333333338
EPS Growth 5yr,-0.0775996
Revenue Growth 5yr,-0.0105142
Dividend Growth 5yr,
Short Int Current Month,4315273.0
Short Int Prev Month,4505835.0
Short Int Pct of Float,0.028161299999999997
Days to Cover,2.46278
Float,153.2341
Shares Outstanding,155.1376
Institutions Holding Shares,322.0
% Held by Institutions,0.9504250000000001
FCF Growth 5yr,-0.5340589579542117
